Age,Gender,Ethnicity,Race,Semestrs,Credits,Suspic,MEAQ01,MEAQ02,MEAQ03,MEAQ04,MEAQ05,MEAQ06,MEAQ07,MEAQ08,MEAQ09,MEAQ10,MEAQ11,MEAQ12,MEAQ13,MEAQ14,MEAQ15,MEAQ16,MEAQ17,MEAQ18,MEAQ19,MEAQ20,MEAQ21,MEAQ22,MEAQ23,MEAQ24,MEAQ25,MEAQ26,MEAQ27,MEAQ28,MEAQ29,MEAQ30,MEAQ31,MEAQ32,MEAQ33,MEAQ34,MEAQ35,MEAQ36,MEAQ37,MEAQ38,MEAQ39,MEAQ40,MEAQ41,MEAQ42,MEAQ43,MEAQ44,MEAQ45,MEAQ46,MEAQ47,MEAQ48,MEAQ49,MEAQ50,MEAQ51,MEAQ52,MEAQ53,MEAQ54,MEAQ55,MEAQ56,MEAQ57,MEAQ58,MEAQ59,MEAQ60,MEAQ61,MEAQ62,MEAQ23RV,MEAQ30RV,MEAQ6RV,MEAQ12RV,MEAQ18RV,MEAQ24RV,MEAQ29RV,MEAQ37RV,MEAQ43RV,MEAQ48RV,MEAQ53RV,MEAQ57RV,MEAQ62RV,EADEVAL,EABEHAV,EADISTRA,EAREPRES,EAPROCRA,EATOLERA,EATOLREV,MEAQTOT,MEAQBV
20,0,0,1,5,12,0,5,6,5,3,4,4,2,3,6,1,3,5,4,5,5,2,3,3,5,5,2,6,5,4,4,4,5,1,4,4,4,4,5,5,1,3,5,5,5,6,1,1,3,3,5,1,2,2,1,3,5,3,6,5,5,2,2,4,4,1,6,4,2,3,3,2,4,3,3,2,4,5,1,5,3,56,50,38,21,19,42,35,219,52
21,0,0,2,6,16,0,6,6,5,1,4,5,2,2,5,2,5,5,6,5,5,5,5,3,5,5,2,5,6,6,6,2,5,2,5,6,6,4,5,5,5,4,4,4,5,1,1,5,3,4,4,4,2,2,2,4,2,3,2,2,2,1,3,2,3,2,5,4,1,1,2,2,4,1,2,3,4,5,5,4,3,57,40,31,31,26,42,35,220,55
21,0,0,1,6,13,0,5,4,4,4,4,4,3,4,4,2,4,5,4,3,4,2,2,4,4,4,2,4,4,3,3,3,3,2,4,4,4,3,4,4,2,4,4,4,3,3,2,3,4,3,3,2,3,3,2,4,3,2,4,4,3,2,4,3,5,2,4,5,3,3,3,2,3,4,3,3,3,4,3,3,2,48,39,26,29,23,44,33,198,48
22,0,0,6, , ,0,6,2,4,5,4,6,1,3,4,4,4,4,3,3,4,3,3,4,3,3,2,2,3,5,3,6,3,3,4,3,5,3,4,2,4,4,5,4,3,4,4,3,4,3,4,2,2,3,2,2,3,3,4,3,3,4,3,1,3,3,2,4,4,4,1,3,3,2,3,2,3,4,3,4,3,34,40,25,43,24,46,31,197,47
18,0, ,1,0,15,0,3,3,5,3,4,3,3,5,2,1,3,4,2,5,3,3,4,2,3,6,5,3,2,4,3,4,2,4,3,4,5,4,4,4,3,5,5,4,3,4,3,5,5,4,2,3,4,3,3,3,3,4,3,5,4,4,4,3,2,2,4,4,5,3,4,3,5,3,4,2,2,4,4,3,3,46,41,23,43,28,40,37,218,53
22,0,0,2,6,13,0,6,4,5,2,4,6,1,2,6,3,5,6,3,5,5,3,5,3,5,5,3,5,6,5,5,2,5,2,5,5,3,4,5,3,1,4,6,4,5,5,2,4,4,4,4,3,4,2,2,2,4,2,5,5,3,1,3,1,3,1,5,6,1,2,1,1,4,2,2,1,3,5,2,4,1,45,43,36,26,28,51,26,204,51
23,1,1,6,10,15,0,6,4,3,1,2,6,3,1,1,1,2,6,4,6,1,5,2,6,2,1,1,1,6,6,5,2,1,1,6,3,5,1,1,3,1,1,6,5,1,1,1,1,1,2,1,5,1,5,1,1,1,1,6,2,1,1,6,1,1,1,5,6,1,4,1,1,1,1,1,1,6,2,1,1,1,42,22,9,21,13,60,17,124,25
26,0,0,1,10,9,0,3,2,2,2,4,4,1,1,4,1,4,6,3,3,5,2,4,3,5,4,1,4,6,5,4,3,2,1,2,5,4,2,4,4,1,4,3,1,2,3,1,1,3,4,4,1,3,1,1,1,2,2,4,2,2,1,5,2,2,1,4,5,1,2,3,1,4,2,5,4,4,6,3,2,2,37,28,24,16,22,41,36,163,40
18,0,0,1,1,15,0,5,6,3,5,1,3,5,5,3,4,6,3,3,3,2,4,5,5,6,5,4,4,3,5,5,5,5,4,2,3,4,5,6,4,4,5,4,5,4,4,4,5,3,5,5,5,4,4,2,2,2,2,3,5,5,4,3,4,4,2,5,3,4,4,4,4,2,2,5,3,4,3,4,4,4,59,48,27,48,30,38,39,251,67
18,1, ,2, , ,0,6,6,6,5,5,5,5,3,5,5,6,6,6,6,5,1,5,6,6,4,4,4,5,6,5,5,6,5,5,6,6,6,5,5,6,6,5,6,6,5,6,5,6,5,6,2,4,4,5,4,5,4,4,5,5,5,5,6,5,6,5,6,2,1,2,1,1,1,2,2,1,3,3,2,1,70,57,36,56,32,58,19,270,78
20,0,1,6,4,19,0,5,2,5,2,4,6,5,4,5,1,4,6,1,5,5,1,4,5,5,5,2,6,6,6,1,4,2,1,6,5,1,1,5,3,1,4,5,4,2,4,2,6,6,1,4,1,1,2,1,4,4,2,6,2,1,1,6,1,4,1,5,6,1,2,1,1,2,1,1,2,1,5,1,1,1,35,39,32,17,25,60,17,165,42
18,1,0,1,1,15,0,6,4,5,2,5,4,2,4,5,2,5,4,2,5,5,4,4,3,5,4,1,5,5,4,5,4,4,2,4,4,3,3,5,3,2,4,4,4,4,5,2,3,5,2,4,3,2,3,2,1,3,2,5,4,3,1,5,4,3,2,4,5,2,3,3,3,4,3,3,3,2,4,2,2,2,43,43,34,27,26,46,31,204,49
34,0,0,2,6,14,0,6,2,2,1,4,6,1,2,1,1,4,6,5,2,4,4,1,5,2,2,1,2,5,6,2,1,2,1,6,6,5,4,2,2,5,4,5,2,3,3,1,1,2,2,3,4,2,5,1,1,2,1,5,2,2,1,5,1,4,1,2,6,2,1,1,1,2,1,1,2,5,2,2,2,1,29,31,16,24,17,57,20,137,31
 ,1,0,1,6,15,0,5,2,3,2,3,6,2,1,4,1,2,5,3,2,3,5,2,6,2,2,1,3,5,5,2,3,3,2,5,6,2,1,3,2,5,2,5,2,2,2,1,1,5,1,2,5,2,5,1,1,1,1,5,2,1,4,5,2,2,2,2,5,2,1,1,2,1,2,2,2,2,2,2,2,2,25,22,21,32,13,57,20,133,29
 ,1, ,2, , ,0,6,6,6,3,6,2,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,3,3,4,4,4,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,1,1,5,1,1,1,1,1,3,2,3,3,3,68,57,40,61,33,53,24,283,68
 ,0, ,1,2,13,0,6,5,3,5,5,5,3,2,5,1,6,6,6,2,5,5,6,6,5,5,1,3,6,6,4,1,2,1,6,6,6,2,2,4,1,4,5,6,5,4,1,1,6,6,4,5,2,4,1,3,4,2,6,6,4,1,6,3,4,1,5,6,1,1,2,1,1,1,1,2,1,3,1,1,1,62,39,24,26,25,62,15,191,40
21,0,0,1,4,59,0,2,3,4,2,4,6,1,2,3,3,4,6,5,2,3,5,3,6,3,3,3,4,6,6,3,2,2,1,4,3,6,3,3,2,1,4,4,4,6,3,1,3,6,4,4,4,3,4,1,3,5,2,6,4,4,2,6,3,5,1,3,6,1,4,1,1,1,1,3,3,1,3,1,1,1,44,38,22,27,25,60,17,173,45
19,1,0,1,2,16,0,3,4,4,2,5,5,3,2,5,1,6,5,4,2,5,4,5,4,3,5,2,5,5,3,5,2,5,4,5,5,6,6,5,4,2,5,4,3,2,4,2,4,5,4,2,4,5,4,1,3,2,4,5,4,2,2,4,4,2,1,6,5,2,2,2,2,3,4,2,3,2,3,2,3,2,53,30,33,31,32,49,28,207,53
24,0,0,1,6,13,0,4,3,4,4,4,5,1,2,3,2,5,6,3,2,2,4,5,5,2,1,1,4,6,6,4,2,2,1,5,5,5,2,5,1,1,4,4,5,2,2,2,2,5,4,4,4,1,4,1,1,2,2,6,3,3,1,5,1,2,1,2,6,1,2,2,1,2,1,2,3,2,3,1,2,1,35,26,22,25,23,57,20,151,38
21,0,0,1,6,13,0,3,4,4,4,4,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,4,3,3,4,3,3,3,2,2,2,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,4,4,4,4,3,3,3,2,3,3,3,4,4,4,4,4,4,4,5,4,3,4,3,5,3,4,3,5,3,3,44,36,24,45,27,37,40,216,51
18,1,0,1,0,16,0,4,2,4,3,4,4,3,2,4,2,3,5,4,3,4,2,4,3,3,4,4,4,5,3,4,3,5,2,5,3,4,3,4,3,5,4,2,2,2,4,2,3,5,3,5,2,3,2,2,5,2,1,3,2,2,2,4,2,2,2,3,3,2,4,3,2,4,4,2,5,2,5,4,3,4,40,32,29,31,25,39,38,195,49
19,0,0,1,3,4,0,4,4,3,2,3,2,4,3,4,4,4,4,4,4,4,4,4,5,5,4,3,4,5,4,3,3,4,5,5,4,4,4,4,4,4,3,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,6,6,2,3,5,3,2,3,2,3,2,3,4,3,1,55,43,27,47,25,46,31,228,58
18,0,0,3, ,15,0,6,3,5,2,2,4,2,1,6,1,2,5,6,2,6,2,4,4,2,2,1,6,6,6,4,3,2,1,6,6,6,3,6,2,6,2,5,4,5,6,1,2,4,3,4,1,2,4,1,3,4,1,6,5,1,1,6,2,6,1,2,6,1,1,3,2,3,1,1,2,3,3,1,1,1,44,37,37,20,15,56,21,174,42
20,0,0,1,4,12,0,5,5,6,4,6,5,6,3,3,4,6,5,2,3,3,2,4,4,5,5,4,3,5,4,3,3,3,2,2,3,5,4,3,3,1,5,4,6,3,4,3,4,4,3,3,3,3,4,2,2,2,1,2,5,4,2,3,4,3,2,4,2,2,4,2,2,3,3,5,3,3,3,5,4,5,53,38,25,32,32,39,38,218,50
21,1,0,1,7,13,0,2,4,5,1,3,6,1,1,4,1,1,5,3,1,3,6,1,5,3,5,1,1,6,6,4,1,1,1,6,6,3,2,1,6,1,1,6,5,1,1,1,1,6,1,1,5,1,6,1,2,1,1,6,4,1,1,1,1,1,1,5,6,1,1,1,2,2,1,1,1,1,1,1,6,1,42,17,16,22,9,59,18,124,20
18,0,0,1,0,15,0,5,5,5,6,5,5,4,2,5,5,5,5,5,2,3,2,5,4,4,4,1,4,3,5,4,4,4,5,3,4,6,4,4,3,3,5,4,6,5,4,4,4,4,5,5,5,5,3,3,4,4,5,5,5,5,5,4,3,4,4,4,4,4,3,2,2,3,2,4,3,3,4,2,3,3,58,44,29,52,32,46,31,246,61
19,1, ,2, , ,0,4,6,5,4,4,5,2,5,4,2,3,3,5,4,4,2,5,4,4,4,2,5,4,5,5,3,4,2,3,3,6,4,5,5,3,5,3,6,5,4,4,3,3,5,5,3,2,3,3,2,4,3,4,6,4,4,3,2,4,3,4,4,3,4,2,4,3,2,4,4,4,4,3,4,3,58,46,31,38,26,40,37,236,60
21,0,0,6,7,15,0,4,2,3,4,4,6,1,2,3,1,4,6,2,2,4,1,1,6,1,2,1,3,5,6,1,1,3,1,6,6,2,1,3,4,1,3,6,1,2,3,3,1,6,1,2,1,4,6,1,1,1,2,6,1,2,1,6,1,2,1,1,6,2,1,1,1,1,1,1,1,1,1,1,1,1,19,21,22,20,18,66,11,111,26
20,1,0,4,4,14,0,5,5,5,3,4,3,3,4,3,2,4,4,3,4,4,2,4,4,6,5,2,4,4,5,5,5,3,4,2,3,4,4,4,3,2,4,4,6,5,3,2,4,2,4,5,2,4,4,2,3,4,1,4,5,5,2,3,3,5,2,3,4,3,4,4,3,3,2,5,3,5,3,3,4,3,53,51,26,29,28,39,38,225,57
27,0,0,1,6,3,0,5,6,2,4,6,5,2,3,3,2,6,2,6,3,2,2,6,4,4,3,1,3,4,4,3,3,3,4,2,2,5,3,3,4,2,6,3,3,4,3,4,6,3,5,5,3,5,1,3,4,3,2,4,6,3,2,3,4,3,2,6,3,3,5,2,5,3,3,5,4,4,6,3,4,4,58,38,19,34,40,34,43,232,59
20,0,1,6,4,15,0,4,3,3,2,4,4,2,3,5,4,4,4,4,2,4,1,1,2,2,2,5,5,6,5,3,4,3,2,4,5,5,3,4,2,1,5,4,5,4,4,2,3,3,2,3,2,3,3,2,3,3,3,5,5,4,2,3,2,3,2,2,6,1,2,3,3,5,2,3,3,4,4,2,4,1,40,35,28,29,22,43,34,188,43
19,1,0,2,2,12,0,2,6,5,4,4,4,4,3,4,1,4,5,4,2,4,2,4,4,5,5,4,5,5,5,1,1,4,4,6,6,4,1,4,1,2,4,5,2,4,5,3,3,5,4,4,4,2,4,4,1,4,2,5,2,2,3,4,1,1,4,1,5,2,1,3,2,3,2,1,2,2,3,2,3,2,36,29,31,39,22,52,25,182,37
28,0,1,1, ,6,0,4,3,1,1,1,6,1,1,3,1,1,6,1,1,2,3,1,3,2,2,1,3,6,4,2,2,2,1,5,5,2,2,3,3,1,1,6,2,2,2,1,1,6,1,1,1,1,3,1,1,1,1,5,2,1,1,5,1,1,1,2,4,1,2,1,1,4,3,2,1,1,4,2,2,3,23,18,16,15,8,53,24,104,21
23,0,0,1,8,15,0,4,3,4,2,5,5,1,2,4,2,4,5,4,3,5,3,5,4,4,3,1,4,6,6,3,1,3,1,5,5,3,3,4,1,5,4,5,4,3,3,1,2,3,3,3,5,4,4,3,5,4,1,6,3,2,3,5,2,3,1,4,6,1,2,2,2,3,1,2,2,4,3,1,2,1,40,31,27,29,26,54,23,176,44
22,0,0,1,7,15,0,1,2,5,5,5,4,1,4,5,3,5,4,6,2,5,2,6,4,2,4,5,5,4,4,2,4,4,4,5,4,5,5,4,1,3,5,5,5,4,4,3,2,4,4,5,4,4,3,3,3,4,3,5,3,2,2,4,1,5,3,1,2,3,3,3,3,3,3,2,2,3,4,2,3,5,36,40,32,43,30,44,33,214,49
24,1,1,6,8,9,0,6,4,3,1,4,5,4,3,5,3,4,5,5,3,4,3,4,4,5,3,2,4,4,5,5,5,4,3,3,3,4,4,4,4,3,3,4,4,3,4,2,2,3,4,3,3,3,4,3,5,3,3,5,5,4,3,3,4,3,3,4,5,3,4,2,2,3,2,4,3,4,3,2,4,2,57,40,28,35,24,46,31,215,53
19,0,0,1, ,15,0,5,4,4,4,3,5,3,1,4,1,3,6,4,2,3,3,2,3,4,4,2,3,5,4,4,4,4,2,4,5,3,3,4,2,1,3,4,2,4,3,2,3,4,4,2,2,1,2,1,1,2,2,5,5,2,2,4,2,4,1,4,4,2,2,2,1,4,3,3,3,3,5,2,3,3,42,33,25,25,17,45,32,174,43
23,0,0,4,8,9,0,4,3,5,4,5,4,3,4,4,1,4,3,5,4,4,2,4,4,5,3,2,5,5,5,1,6,3,2,4,3,3,4,4,3,1,4,4,3,1,4,2,5,4,3,3,4,5,3,1,1,3,4,5,4,4,1,4,1,4,1,1,5,2,4,3,4,3,2,3,3,3,4,2,3,2,36,40,29,27,31,45,32,195,43
24,1,0,1,10,15,0,4,4,5,2,2,4,4,3,4,4,3,2,3,5,3,3,4,4,4,3,2,4,3,3,3,3,3,4,3,3,5,5,2,3,3,4,4,3,3,4,3,5,5,4,5,2,3,3,4,3,4,4,3,3,3,4,4,5,3,3,2,3,4,4,3,5,3,4,4,3,2,4,4,3,4,46,41,25,42,25,38,39,218,58
20,1,0,1,4,14,0,6,4,4,3,4,4,2,3,4,5,6,5,3,3,4,2,3,2,4,4,2,4,5,4,2,4,3,5,3,4,2,2,4,2,2,4,3,3,3,2,2,4,4,3,4,2,3,3,1,2,2,1,5,2,4,1,4,1,4,4,1,4,2,3,3,2,5,3,4,4,3,4,2,3,3,31,39,25,32,27,41,36,190,43
22,1,0,2,6,12,0,6,5,3,4,5,6,1,1,1,1,1,6,2,1,1,4,3,4,6,5,1,3,5,5,2,3,2,2,4,5,2,6,4,2,2,2,5,4,4,4,2,1,5,2,2,2,1,3,1,1,4,2,6,1,1,1,5,1,1,1,5,5,2,2,1,1,3,2,3,2,2,4,1,2,2,34,34,18,25,15,54,23,149,31
19,0,1,6,1,12,0,4,3,3,3,4,3,4,3,4,3,4,4,3,4,5,3,4,3,4,4,4,4,5,4,2,3,3,2,4,4,3,4,4,4,4,4,4,4,3,4,3,3,4,3,4,3,2,4,3,3,3,3,5,4,4,3,5,3,4,3,5,4,2,3,4,3,4,3,3,3,3,3,2,2,3,45,40,27,39,24,44,33,208,50
20,1,0,1,3,12,0,5,3,4,4,4,5,2,3,4,2,4,4,2,3,5,3,5,4,4,4,5,5,5,4,2,5,2,2,3,4,5,4,3,4,2,4,4,4,3,4,3,2,4,2,3,2,5,4,3,2,3,4,5,4,4,2,4,1,3,2,3,4,2,3,2,3,3,3,4,3,3,3,2,3,3,38,40,27,36,27,45,32,200,40
23,0,0,2, ,16,0,5,4,4,4,3,5,1,1,5,1,3,6,5,5,5,5,1,5,6,4,1,6,4,6,6,5,4,1,5,4,6,1,6,5,6,4,5,5,3,5,3,4,4,1,2,5,2,2,2,2,3,3,5,6,2,4,4,2,3,3,6,6,3,3,2,1,2,1,2,2,3,5,2,3,1,55,34,35,41,20,53,24,209,49
19,0,0,1,2,12,0,4,4,4,3,4,4,3,2,4,1,4,4,4,3,4,2,3,3,4,3,2,4,4,5,3,4,3,2,4,5,5,3,4,4,3,4,4,3,4,3,3,5,4,3,3,2,3,4,1,3,3,3,5,3,3,3,5,3,3,2,3,4,3,2,3,3,4,2,3,3,3,3,2,2,3,45,35,26,30,25,46,31,192,49
18,0,0,1,0,15,0,6,2,2,2,6,6,2,1,3,1,5,6,1,3,3,1,6,4,3,3,1,3,6,6,1,1,1,1,6,6,6,1,3,5,1,6,5,6,3,2,1,1,6,2,2,1,6,5,1,1,3,3,5,3,2,1,5,1,2,1,2,3,1,1,1,1,3,1,1,2,1,2,2,2,4,35,27,17,16,31,57,20,146,27
20,0,1,1,4,9,0,6,5,4,3,3,4,2,3,3,2,3,3,4,4,3,2,2,3,4,3,3,3,5,6,3,4,3,3,4,5,4,3,3,4,1,3,5,6,3,2,4,3,5,4,3,2,3,6,1,3,6,2,2,3,3,2,3,3,6,1,5,5,2,2,3,4,4,1,3,2,2,1,5,4,2,50,44,21,28,19,46,31,193,50
19,0,0,1,2,12,0,5,6,6,4,6,4,3,4,4,5,5,4,6,4,5,4,5,4,4,6,5,6,4,4,4,4,6,5,3,2,5,4,6,4,5,6,4,6,4,5,4,5,3,5,5,5,5,3,4,5,4,3,3,5,4,3,3,3,4,4,4,5,3,5,3,3,3,3,4,3,4,4,4,4,2,60,48,38,54,37,40,37,274,68
22,0,1,6,6,15,0,6,4,6,1,6,2,2,1,3,1,4,4,4,2,1,1,5,6,3,3,1,4,6,6,2,5,3,1,6,5,4,4,2,2,1,4,6,5,2,2,1,3,6,4,4,1,5,6,4,2,2,1,6,2,2,1,6,2,1,1,3,6,1,2,5,3,1,1,1,1,1,1,1,1,1,39,32,21,16,29,60,17,154,36
18,0,0,1, ,12,0,5,3,4,4,4,4,2,3,4,1,4,3,4,4,4,2,5,2,4,2,3,4,2,4,4,4,4,2,4,4,5,3,4,5,2,4,4,3,3,4,4,4,3,3,3,3,4,2,2,2,4,4,4,4,4,3,4,2,4,2,4,4,5,3,3,4,5,3,3,3,4,5,3,3,3,45,39,28,37,28,38,39,216,51
20,0,0,1,2,15,0,6,4,5,3,5,4,2,2,5,1,5,4,3,4,4,4,5,3,3,3,2,4,4,4,2,3,4,2,4,3,3,4,4,3,3,4,4,3,3,5,2,4,4,3,5,3,5,4,2,3,4,2,5,3,4,2,5,2,5,2,2,5,3,4,3,3,4,3,3,3,3,3,2,2,2,36,43,31,31,32,46,31,204,51
18,1,0,1, ,12,0,4,4,3,5,6,6,1,1,4,4,5,4,5,4,5,4,6,1,1,5,3,4,4,3,2,4,3,5,2,2,5,2,5,2,3,6,2,6,5,5,5,5,3,3,5,3,6,2,3,2,1,4,2,4,4,3,2,2,3,5,6,4,3,5,1,3,6,4,5,5,4,5,5,5,3,43,38,29,50,39,31,46,245,55
20,0,0,2,5,12,0,6,6,4,1,5,5,4,5,6,1,6,6,5,6,6,4,1,6,6,6,1,6,6,6,1,3,5,1,1,6,6,6,6,1,1,5,4,1,1,3,1,1,1,2,1,1,1,4,1,1,6,1,5,6,1,1,6,1,1,1,6,5,1,1,2,1,1,1,6,3,6,3,2,1,2,46,42,36,16,20,49,28,188,44
19,0,0,2, ,12,0,4,4,4,3,3,3,4,5,4,3,4,3,5,5,4,3,5,2,4,3,3,5,3,4,4,4,2,2,5,4,4,3,2,3,3,3,4,4,5,3,5,5,2,2,2,4,4,4,3,5,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,4,5,3,2,3,5,3,3,4,3,51,43,24,44,27,38,39,228,52
19,0,0,1,4,12,0,5,5,5,4,6,5,2,2,4,2,5,5,5,4,5,4,5,5,4,4,2,2,3,4,2,5,4,2,4,3,3,4,3,1,4,4,5,4,3,3,5,5,5,3,2,5,4,5,2,2,3,3,5,4,5,4,4,2,3,2,3,4,4,4,2,2,2,3,3,2,2,2,2,3,3,40,40,26,43,33,51,26,208,50
24,0,1,1,3,12,0,5,6,6,2,2,6,1,1,5,2,5,5,5,3,4,2,5,5,4,4,5,5,5,5,3,2,2,2,4,2,4,4,4,4,3,4,4,5,5,5,2,5,5,3,5,4,6,3,3,3,5,3,3,3,4,6,2,5,5,6,6,6,2,5,1,2,2,2,3,3,2,4,4,5,1,52,43,31,42,32,48,29,229,57
22,1,1,1,50,9,0,3,4,4,2,2,6,2,2,4,2,1,5,5,1,2,2,2,2,1,2,2,2,2,6,2,1,2,1,5,5,4,5,1,6,2,2,5,1,2,2,1,2,5,1,1,4,1,1,1,1,1,2,5,1,1,1,1,1,1,1,2,6,5,2,1,2,5,1,2,2,2,6,2,6,1,31,20,17,26,12,47,30,136,24
24,0,0,1,6,16,0,4,1,5,1,1,5,1,1,5,1,1,5,4,2,4,4,3,5,4,3,4,5,5,5,1,3,4,1,5,5,1,1,4,1,5,1,6,1,1,2,1,1,6,1,1,5,1,5,1,1,1,1,5,1,1,1,6,1,1,1,1,6,2,2,2,2,2,2,2,1,1,2,2,1,1,19,19,29,28,10,59,18,123,23
20,1,1,6,7,42,0,5,6,5,5,6,3,5,5,4,5,6,5,4,5,3,6,6,5,5,5,2,4,3,6,4,6,4,2,1,2,4,4,6,2,6,6,5,6,4,3,4,2,5,5,6,6,6,4,3,5,4,2,4,5,5,4,4,5,4,5,4,5,4,5,4,2,2,1,6,2,2,3,3,3,2,60,53,29,54,37,47,30,263,70
21,1,0,1,3,12,0,4,4,5,4,6,5,4,3,4,3,4,2,4,4,5,4,5,3,5,5,3,5,3,1,6,5,5,5,3,3,6,5,5,6,5,5,3,1,5,5,4,5,3,2,4,3,5,2,3,5,5,5,5,4,3,3,3,5,4,3,5,3,4,4,2,5,4,6,4,4,4,5,2,4,4,57,47,34,49,34,33,44,265,66
